,2,3,4,5,6,7,8,9,10,11
11,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
10,N,N,N,N,N,N,N,N,N,N
9,Y,Y,Y,Y,Y,N,Y,Y,Y,Y
8,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
7,Y,Y,Y,Y,Y,Y,N,N,N,N
6,Y/N,Y,Y,Y,Y,N,N,N,N,N
5,N,N,N,N,N,N,N,N,N,N
4,N,N,N,Y/N,Y/N,N,N,N,N,N
3,Y/N,Y/N,Y,Y,Y,Y,N,N,N,N
2,Y/N,Y/N,Y,Y,Y,Y,N,N,N,N
